iter	Passed	Remaining
848	5823	28470
849	5829	28464
850	5835	28451
851	5841	28441
852	5849	28437
853	5855	28428
854	5863	28424
855	5869	28415
856	5877	28411
857	5883	28400
858	5889	28393
859	5895	28382
860	5901	28371
861	5908	28365
862	5914	28354
863	5921	28347
864	5927	28336
865	5933	28325
866	5940	28317
867	5946	28306
868	5952	28298
869	5959	28291
870	5965	28279
871	5972	28273
872	5978	28262
873	5986	28259
874	5992	28249
875	5999	28246
876	6005	28235
877	6012	28226
878	6018	28217
879	6024	28205
880	6046	28271
881	6052	28259
882	6059	28251
883	6065	28243
884	6071	28231
885	6078	28224
886	6084	28211
887	6090	28203
888	6096	28192
889	6102	28181
890	6117	28213
891	6124	28207
892	6130	28196
893	6136	28185
894	6143	28177
895	6149	28165
896	6155	28156
897	6161	28146
898	6168	28138
899	6174	28127
900	6180	28117
901	6187	28112
902	6193	28100
903	6200	28096
904	6206	28084
905	6212	28073
906	6219	28068
907	6225	28056
908	6233	28053
909	6239	28042
910	6245	28034
911	6252	28024
912	6258	28014
913	6264	28006
914	6270	27994
915	6277	27986
916	6282	27974
917	6288	27962
918	6295	27958
919	6301	27947
920	6308	27940
921	6314	27929
922	6320	27919
923	6336	27953
924	6349	27971
925	6356	27966
926	6363	27957
927	6369	27948
928	6376	27944
929	6382	27933
930	6390	27930
931	6396	27919
932	6404	27917
933	6410	27905
934	6415	27893
935	6423	27888
936	6429	27877
937	6436	27872
938	6442	27862
939	6449	27855
940	6455	27844
941	6461	27833
942	6471	27841
943	6479	27839
944	6485	27830
945	6492	27822
946	6499	27815
947	6506	27809
948	6513	27804
949	6520	27799
950	6528	27795
951	6534	27785
952	6542	27782
953	6548	27773
954	6555	27765
955	6560	27753
956	6567	27743
957	6573	27736
958	6580	27726
959	6587	27722
960	6593	27712
961	6609	27744
962	6615	27734
963	6623	27729
964	6629	27718
965	6636	27715
966	6642	27704
967	6650	27699
968	6655	27687
969	6661	27676
970	6671	27683
971	6679	27679
972	6686	27675
973	6695	27674
974	6706	27685
975	6714	27683
976	6720	27671
977	6727	27665
978	6733	27655
979	6740	27649
980	6746	27640
981	6753	27631
982	6760	27626
983	6766	27618
984	6773	27610
985	6780	27603
986	6786	27593
987	6793	27584
988	6798	27573
989	6805	27565
990	6811	27555
991	6821	27561
992	6827	27550
993	6834	27544
994	6840	27534
995	6847	27525
996	6853	27517
997	6859	27508
998	6867	27505
999	6873	27494
1000	6881	27490
1001	6887	27481
1002	6894	27473
1003	6900	27463
1004	6906	27454
1005	6925	27494
1006	6931	27485
1007	6937	27474
1008	6944	27468
1009	6950	27458
1010	6957	27452
1011	6963	27443
1012	6970	27433
1013	6977	27427
1014	6997	27473
1015	7004	27464
1016	7010	27455
1017	7015	27443
1018	7023	27438
1019	7029	27429
1020	7037	27426
1021	7043	27416
1022	7049	27406
1023	7056	27399
1024	7062	27388
1025	7069	27381
1026	7075	27371
1027	7084	27373
1028	7090	27362
1029	7097	27358
1030	7103	27347
1031	7110	27337
1032	7116	27330
1033	7123	27321
1034	7130	27316
1035	7136	27307
1036	7143	27300
1037	7150	27293
1038	7156	27282
1039	7163	27275
1040	7169	27265
1041	7176	27258
1042	7181	27247
1043	7187	27236
1044	7194	27227
1045	7199	27216
1046	7207	27211
1047	7212	27199
1048	7218	27188
1049	7226	27185
1050	7232	27175
1051	7240	27170
1052	7245	27160
1053	7252	27151
1054	7258	27142
1055	7264	27131
1056	7271	27125
1057	7277	27116
1058	7284	27109
1059	7290	27100
1060	7296	27088
1061	7303	27082
1062	7309	27071
1063	7317	27067
1064	7322	27056
1065	7329	27048
1066	7335	27040
1067	7342	27031
1068	7349	27024
1069	7354	27013
1070	7361	27007
1071	7367	26997
1072	7373	26987
1073	7380	26979
1074	7386	26969
1075	7393	26962
1076	7399	26952
1077	7405	26942
1078	7412	26936
1079	7418	26927
1080	7425	26921
1081	7431	26911
1082	7438	26904
1083	7445	26897
1084	7452	26891
1085	7459	26883
1086	7465	26874
1087	7473	26871
1088	7479	26863
1089	7488	26862
1090	7494	26850
1091	7501	26845
1092	7507	26836
1093	7513	26826
1094	7520	26819
1095	7526	26809
1096	7533	26803
1097	7539	26793
1098	7546	26787
1099	7552	26778
1100	7558	26768
1101	7565	26761
1102	7571	26751
1103	7579	26746
1104	7584	26736
1105	7591	26727
1106	7597	26719
1107	7603	26709
1108	7610	26703
1109	7616	26693
1110	7623	26684
1111	7629	26675
1112	7635	26666
1113	7642	26659
1114	7648	26649
1115	7655	26641
1116	7661	26633
1117	7667	26623
1118	7674	26617
1119	7680	26608
1120	7688	26602
1121	7693	26592
1122	7699	26582
1123	7707	26577
1124	7712	26566
1125	7720	26563
1126	7726	26553
1127	7733	26547
1128	7739	26537
1129	7746	26529
1130	7752	26520
1131	7758	26510
1132	7765	26502
1133	7770	26492
1134	7777	26483
1135	7783	26474
1136	7789	26463
1137	7795	26456
1138	7802	26448
1139	7809	26441
1140	7815	26434
1141	7823	26430
1142	7830	26424
1143	7837	26418
1144	7844	26410
1145	7851	26403
1146	7859	26402
1147	7866	26394
1148	7875	26394
1149	7881	26385
1150	7888	26379
1151	7894	26369
1152	7901	26364
1153	7907	26353
1154	7913	26343
1155	7920	26338
1156	7926	26328
1157	7934	26323
1158	7940	26313
1159	7947	26309
1160	7953	26300
1161	7959	26290
1162	7982	26335
1163	7988	26325
1164	7994	26317
1165	8001	26309
1166	8007	26299
1167	8013	26292
1168	8020	26285
1169	8029	26286
1170	8037	26281
1171	8044	26274
1172	8051	26268
1173	8060	26269
1174	8068	26265
1175	8075	26258
1176	8081	26249
1177	8088	26242
1178	8094	26232
1179	8099	26220
1180	8106	26214
1181	8112	26205
1182	8119	26198
1183	8125	26188
1184	8131	26179
1185	8137	26170
1186	8144	26161
1187	8151	26154
1188	8156	26144
1189	8163	26138
1190	8169	26128
1191	8176	26119
1192	8196	26155
1193	8202	26145
1194	8208	26136
1195	8215	26128
1196	8221	26120
1197	8229	26117
1198	8236	26109
1199	8242	26102
1200	8249	26093
1201	8254	26083
1202	8262	26077
1203	8267	26067
1204	8274	26060
1205	8281	26053
1206	8288	26045
1207	8294	26038
1208	8300	26026
1209	8307	26020
1210	8312	26009
1211	8319	26002
1212	8326	25995
1213	8332	25984
1214	8338	25977
1215	8344	25966
1216	8352	25963
1217	8358	25953
1218	8364	25945
1219	8370	25935
1220	8376	25925
1221	8384	25921
1222	8390	25911
1223	8398	25909
1224	8405	25903
1225	8414	25901
1226	8421	25894
1227	8428	25890
1228	8435	25883
1229	8443	25880
1230	8449	25871
1231	8457	25866
1232	8463	25856
1233	8469	25848
1234	8476	25842
1235	8482	25831
1236	8489	25826
1237	8495	25817
1238	8502	25808
1239	8508	25801
1240	8516	25795
1241	8523	25789
1242	8529	25781
1243	8537	25778
1244	8543	25769
1245	8552	25766
1246	8558	25757
1247	8565	25752
1248	8574	25750
1249	8580	25742
1250	8587	25734
1251	8593	25725
1252	8600	25720
1253	8606	25709
1254	8613	25703
1255	8619	25694
1256	8625	25684
1257	8633	25680
1258	8639	25670
1259	8646	25664
1260	8652	25655
1261	8659	25649
1262	8665	25639
1263	8671	25631
1264	8679	25625
1265	8685	25616
1266	8692	25611
1267	8698	25602
1268	8705	25595
1269	8712	25587
1270	8718	25578
1271	8724	25570
1272	8731	25562
1273	8738	25556
1274	8744	25546
1275	8750	25538
1276	8757	25531
1277	8763	25522
1278	8770	25516
1279	8776	25507
1280	8783	25500
1281	8789	25491
1282	8795	25482
1283	8803	25476
1284	8809	25467
1285	8815	25459
1286	8821	25451
1287	8828	25442
1288	8835	25436
1289	8841	25427
1290	8848	25421
1291	8854	25411
1292	8862	25407
1293	8868	25398
1294	8873	25388
1295	8880	25381
1296	8886	25370
1297	8893	25364
1298	8899	25355
1299	8905	25345
1300	8912	25340
1301	8919	25332
1302	8926	25325
1303	8932	25317
1304	8939	25311
1305	8946	25303
1306	8952	25295
1307	8958	25287
1308	8965	25278
1309	8971	25271
1310	8977	25261
1311	8984	25254
1312	8990	25245
1313	8996	25236
1314	9003	25229
1315	9008	25219
1316	9015	25211
1317	9021	25202
1318	9028	25196
1319	9051	25233
1320	9056	25223
1321	9065	25220
1322	9070	25209
1323	9077	25202
1324	9083	25194
1325	9089	25183
1326	9096	25178
1327	9102	25167
1328	9108	25159
1329	9113	25148
1330	9119	25138
1331	9126	25132
1332	9132	25123
1333	9141	25122
1334	9150	25120
1335	9157	25114
1336	9165	25110
1337	9175	25113
1338	9183	25108
1339	9189	25099
1340	9195	25089
1341	9202	25082
1342	9208	25074
1343	9214	25065
1344	9220	25056
1345	9226	25046
1346	9233	25040
1347	9239	25032
1348	9246	25025
1349	9252	25017
1350	9258	25007
1351	9265	25000
1352	9271	24991
1353	9278	24986
1354	9285	24977
1355	9291	24969
1356	9297	24960
1357	9303	24951
1358	9311	24946
1359	9317	24938
1360	9325	24935
1361	9332	24927
1362	9339	24922
1363	9345	24913
1364	9353	24908
1365	9359	24899
1366	9366	24892
1367	9374	24888
1368	9380	24880
1369	9387	24873
1370	9393	24865
1371	9400	24857
1372	9406	24848
1373	9412	24839
1374	9419	24833
1375	9425	24823
1376	9432	24817
1377	9438	24807
1378	9443	24798
1379	9450	24791
1380	9457	24783
1381	9464	24777
1382	9470	24769
1383	9476	24759
1384	9483	24753
1385	9489	24743
1386	9496	24737
1387	9502	24728
1388	9509	24722
1389	9515	24712
1390	9521	24703
1391	9542	24733
1392	9548	24725
1393	9556	24720
1394	9562	24712
1395	9569	24704
1396	9576	24698
1397	9582	24688
1398	9589	24683
1399	9595	24674
1400	9603	24669
1401	9609	24660
1402	9615	24651
1403	9622	24644
1404	9628	24636
1405	9635	24629
1406	9641	24621
1407	9648	24614
1408	9654	24606
1409	9661	24598
1410	9669	24594
